DimB_SK,DimL_SK,DimV_SK,ViolationLevel
3000000,2002323,100336,1
3000001,2001622,100000,0
3000001,2001622,100007,3
3000001,2001622,100009,1
3000001,2001622,100054,3
3000001,2001622,100064,1
3000001,2001622,100083,1
3000001,2001622,100084,2
3000001,2001622,100129,3
3000001,2001622,100139,1
3000001,2001622,100162,1
3000001,2001622,100166,3
3000001,2001622,100168,2
3000001,2001622,100175,1
3000001,2001622,100205,1
3000001,2001622,100220,2
3000001,2001622,100256,2
3000001,2001622,100260,1
3000001,2001622,100304,2
3000001,2001622,100306,1
3000001,2001622,100328,1
3000001,2001622,100343,1
3000001,2001622,100349,1
3000001,2001622,100356,2
3000001,2001622,100358,1
3000001,2001622,100359,2
3000001,2001622,100366,1
3000001,2001622,100372,1
3000001,2001622,100376,1
3000001,2001622,100413,0
3000002,2002171,100335,1
3000003,2001877,100000,0
3000003,2001877,100082,2
3000003,2001877,100083,1
3000003,2001877,100084,2
3000003,2001877,100094,3
3000003,2001877,100107,1
3000003,2001877,100109,2
3000003,2001877,100128,1
3000003,2001877,100129,3
3000003,2001877,100139,1
3000003,2001877,100162,1
3000003,2001877,100166,3
3000003,2001877,100167,3
3000003,2001877,100182,3
3000003,2001877,100226,2
3000003,2001877,100283,1
3000003,2001877,100306,1
3000003,2001877,100335,1
3000003,2001877,100356,2
3000003,2001877,100357,1
3000003,2001877,100371,1
3000003,2001877,100378,1
3000003,2001877,100401,3
3000004,2002628,100000,0
3000004,2002628,100014,3
3000004,2002628,100023,1
3000004,2002628,100036,1
3000004,2002628,100041,3
3000004,2002628,100045,1
3000004,2002628,100051,1
3000004,2002628,100054,3
3000004,2002628,100055,1
3000004,2002628,100062,1
3000004,2002628,100064,1
3000004,2002628,100408,1
3000005,2001240,100000,0
3000005,2001240,100007,3
3000005,2001240,100009,1
3000005,2001240,100014,3
3000005,2001240,100017,1
3000005,2001240,100019,1
3000005,2001240,100021,3
3000005,2001240,100023,1
3000005,2001240,100032,1
3000005,2001240,100033,1
3000005,2001240,100038,1
