DimB_SK,businessname,dbaname,legalowner,namelast,namefirst,address,city,state,zip,property_id,dayphn,Latitude,Longitude,BusinessConcat
3000000,100 Federal Market & Barista- 11th Floor,,ONE HUNDRED FEDERAL ST LPS,Compass Group  USA Inc,Attn:Licensing,100   Federal ST,Boston,MA,02110,57150,+16174345000,42.35477,-71.05613,100 Federal Market & Barista- 11th FloorCompass Group  USA IncAttn:Licensing57150
3000001,100 Percent Delicias Express,,STAMATOS GEORGE C,100 Percent Delicias Express LLC,Lewis Crespo,656   Centre ST,Jamaica Plain,MA,02130,28152,+18572505689,42.31283,-71.11386,100 Percent Delicias Express100 Percent Delicias Express LLCLewis Crespo28152
3000002,11 Dining -16th Fl.,,"",11 Dining LLC,Att: Accounts Payable,200   Berkeley ST,Boston,MA,02116,187943,+10000000000,42.34986,-71.07291,11 Dining -16th Fl.11 Dining LLCAtt: Accounts Payable187943
3000003,110 Grill,,,110 Grill Mamagement LLC,"",25  Jan Karski WY,Dorchester,MA,02125,421286,+19786929450,0,0,110 Grill110 Grill Mamagement LLC421286
3000004,129 Lake Street Cafe,,,Trustees of Boston College,"",127   LAKE ST,Brighton/,MA,02135,0,+16175523307,0,0,129 Lake Street CafeTrustees of Boston College0
3000005,149 Eat Street,,"",Mass. General Hospital Joan Shea Sr. Mgr.,"",300   CHELSEA ST,Charlestown/,MA,02129,0,+16177262520,0,0,149 Eat StreetMass. General Hospital Joan Shea Sr. Mgr.0
3000006,1928 Beacon Hill,,BINA AZITA,Jenkins,Kristin,97   Mount Vernon ST,Boston,MA,02108,98781,+18572335662,42.35806,-71.06972,1928 Beacon HillJenkinsKristin98781
3000007,20TH CENTRY BOWLING LANES,,COVITZ,COVITZ,RONALD,1231   Hyde Park AVE,Hyde Park,MA,02136,77089,+13392372645,42.25682,-71.12411,20TH CENTRY BOWLING LANESCOVITZRONALD77089
3000008,21 ST. AMENDMENT,,,MICHAEL G. CONLON JR.,"",150   Bowdoin ST,Boston,MA,02108,158193,+16172277100,42.358336,-71.062581,21 ST. AMENDMENTMICHAEL G. CONLON JR.158193
3000009,224 BOSTON,,TYO KEVIN,224 Boston Street Restaurant LLC,Eric Avlenback,224   Boston ST,Dorchester,MA,02125,156048,+16172651217,42.322272,-71.060848,224 BOSTON224 Boston Street Restaurant LLCEric Avlenback156048
3000010,2Twenty2,,,222 Friends Inc.,Anthony J. DePinto,222  Friend ST,Boston,MA,02114,352074,+16177233222,0,0,2Twenty2222 Friends Inc.Anthony J. DePinto352074
3000011,2Twenty2,,,DePinto,Anthony,4  Liberty SQ,Boston,MA,02109,421341,+16177233222,0,0,2Twenty2DePintoAnthony421341
3000012,320 Cafe,,,Adamo,Joseph,314   Spring ST,West Roxbury,MA,02132,157799,+13057851745,42.271712,-71.17211,320 CafeAdamoJoseph157799
3000013,50 Kitchen & Eatery,,,Caldwell,Anthony,1450   Dorchester AVE,Boston,MA,02122,378389,+16174742433,0,0,50 Kitchen & EateryCaldwellAnthony378389
3000014,50/50 Lounge,,,FS Bos (US) LLC,c/o Accounts Payable,1  Dalton ST,Boston,MA,02115,437941,+16175301741,0,0,50/50 LoungeFS Bos (US) LLCc/o Accounts Payable437941
3000015,75 CHESTNUT,,MORRIS H BARRY,THOMAS A. KERSHAW PRES.,"",75   Chestnut ST,Boston,MA,02108,31472,+16172272175,42.356898,-71.070971,75 CHESTNUTTHOMAS A. KERSHAW PRES.31472
3000016,75 On Liberty Wharf,,Liberty Wharf,Hampshire House Corp.,"",220   Northern AVE,Boston,MA,02210,342823,+16178547631,0,0,75 On Liberty WharfHampshire House Corp.342823
3000017,753 South,,PETRUZZIELLO LUIGI R TS,Judge,Stephen,749   South ST,Roslindale,MA,02131,128941,+16176346738,42.28716,-71.12912,753 SouthJudgeStephen128941
3000018,8 Pizzas,,,Dural,Taskin,600   Washington ST,Brighton,MA,02135,156134,+10000000000,42.350371,-71.167041,8 PizzasDuralTaskin156134
3000019,89 Broad Street/Fin Point,,W-BOSTON LLC,MNM Restaurant Group LLC,Mark Grzelak,89   Broad ST,Boston,MA,02110,20586,+16173481234,42.35744,-71.05316,89 Broad Street/Fin PointMNM Restaurant Group LLCMark Grzelak20586
3000020,9 Thai Express,,,9 Thai Express LLC,Noppawan Srimahakosol,433  Cambridge ST,Allston,MA,02134,351877,+16175950409,0,0,9 Thai Express9 Thai Express LLCNoppawan Srimahakosol351877
3000021,99 RESTAURANT AND PUB,,,"O'Charley's Inc.",Attn: Lic.Compliance,29  Austin ST,Charlestown,MA,02129,155829,+16152568500,42.374884,-71.067065,"99 RESTAURANT AND PUBO'Charley's Inc.Attn: Lic.Compliance155829"
3000022,A & B Burgers,,,A & B Burgers - Causeway LLC,Thomas Holland,97  Beverly ST,Boston,MA,02114,419694,+16175964339,0,0,A & B BurgersA & B Burgers - Causeway LLCThomas Holland419694
3000023,A & N PIZZA,,MVP INVESTMENTS LLC,SAVVAS MICHAELIDIS PRES.,"",1409   Centre ST,West Roxbury,MA,02132,27566,+16173232211,42.29413,-71.13674,A & N PIZZASAVVAS MICHAELIDIS PRES.27566
3000024,"A K's Take Out & Delivery",,BOUKOUVALAS ATHENA TS,Saini,Jasbir,1427   Tremont ST,Mission Hill,MA,02120,136818,+16175410300,42.331858,-71.096333,"A K's Take Out & DeliverySainiJasbir136818"
3000025,A La Esh,,ROMAN CATH ARCH OF BOS,Sincha Restaurants LLC,"",65  Northern Av,Boston,MA,02210,103900,+16179097415,42.352583,-71.04586,A La EshSincha Restaurants LLC103900
3000026,A. Butter,,,A. Butter LLC,Att: Accounts Payable,633  Centre ST,Jamaica Plain,MA,02130,344812,+17187819799,42.313746,-71.114645,A. ButterA. Butter LLCAtt: Accounts Payable344812
3000027,"ABE & LOUIE'S",,BOYLSTON AND GLOUCESTER LLC,BACK BAY RESTAURANT GROUP,"",793   Boylston ST,Boston,MA,02116,18399,+16175364200,42.34924,-71.0816,"ABE & LOUIE'SBACK BAY RESTAURANT GROUP18399"
3000028,"ABE & LOUIE'S",,BOYLSTON AND GLOUCESTER LLC,BBRG TR LLC,C/O LICENSING SOLUTIONS,793   Boylston ST,Boston,MA,02116,18399,+16175364200,42.34924,-71.0816,"ABE & LOUIE'SBBRG TR LLCC/O LICENSING SOLUTIONS18399"
