DimV_SK,violation,violdesc,violdttm,violstatus,statusdate,result,resultdttm,comments
100000,,,"",,,HE_Pass,2018-11-21 08:59:46,""
100001,01-3-101/701.11,Spoilage Unsafe Food,2012-05-15 11:06:01,Fail,,HE_Fail,2012-05-15 11:06:01,Visibly soiled   rotten lettuce and tomatoes in the sandwich unit - discarded during inspection
100002,01-3-201.11,Approved Source,2017-11-21 11:05:53,Fail,,HE_Fail,2017-11-21 11:05:53,Restaurant has purchased some foods not identified as a properly licensed wholesaler- ensure all foods are being purchased from a reputable wholesale supplier as discussed
100003,01-3-202.11-.17,Recieving/Sound Condition/Proper Temperatures,2014-05-27 14:24:33,Fail,,HE_Fail,2014-05-27 14:24:33,Mussels cracked and opened  removed from PIC. Make sure mussels are delivered in proper condition.
100004,01-3-202.12,Approved Food  or Color Additives,2010-01-08 10:53:37,Fail,,HE_Fail,2010-01-08 10:53:37,Food coloring supplied from grocery store with no english labels. Provide. Food coloring being added to foods on site. Discontinue and ensure all colorings are approved from the FDA.
100005,01-3-202.18,Shellstock ID,2016-02-17 12:52:46,Fail,,HE_Fail,2016-02-17 12:52:46,Missing tags - keep on site as discussed
100006,01-3-203.12,Tags & Records,2018-03-05 11:35:06,Fail,,HE_Fail,2018-03-05 11:35:06,Shellstock tags are not being maintained in chronological order. Organize shellstock tag file.
100007,01-3-602.11 B2,Labeling of Ingredients,2019-05-07 14:57:03,Fail,,HE_Fail,2019-05-07 14:57:03,Provide a ingredient list for desert as discussed.
100008,02-3-201.11F,Safe Food Handeling Instructions,2019-01-02 14:16:34,Fail,,HE_Fail,2019-01-02 14:16:34,Several squeeze bottles with dressings have no labels. Provide.
100009,02-3-602.11-.12/3-302.12,Food Container Labels,2019-05-07 14:57:03,Fail,,HE_Fail,2019-05-07 14:57:03,Lable bulk food containers. Sugar etc.
100010,03-3-402.11-.12,Parasite Destruction,2014-04-24 11:04:18,Fail,,HE_Fail,2014-04-24 11:04:18,Provide proof of parasite destruction for raw fish
100011,03-3-403.11,Reheating,2019-01-23 07:16:58,Fail,,HE_Fail,2019-01-23 07:16:58,PIC will need to review with staff to properly reheat foods to 165F before putting into hotm holding.
100012,03-3-501.14,Cooling,2017-11-14 10:13:26,Fail,,HE_Fail,2017-11-14 10:13:26,Cooked potatoes from the previous night (as stated by management) with an elevated temperature of 51F. Discontinue and ensure proper cooling methods are in place and staff have been properly trained. Potaotes were voluntarily discarded at the time of the
100013,03-3-501.16,Hot Holding,2013-07-25 11:09:29,Fail,,HE_Fail,2013-07-25 11:09:29,Temp of chili in hot hold 120r. (should be 1404
100014,03-3-501.16(A),Cold Holding,2018-06-05 08:36:18,Fail,,HE_Fail,2018-06-05 08:36:18,"Sour cream 45 F Cold cuts 47 F Provide proper refrigeration to maintain all PHF/TCSF's at proper temperature Serving line"
100015,03-3-501.19,Times as a Public Health Control,2019-04-17 14:31:07,Fail,,HE_Fail,2019-04-17 14:31:07,Tofu left in room temperature at prep area  registered 56F. PIC stated it had been out for 45 minutes  and placed it inside refrigerating unit. Maintain at 41F or below all the time.
100016,03-401.11-.12,Cooking Temperatures,2015-04-14 14:56:50,Fail,,HE_Fail,2015-04-14 14:56:50,Final cooking temperature of whole 4 pound chickens should be a minimum of 165F or higher - documented time on temperature logs read 160F - i checked the temperature during inspection and it was 155F but still had 45 minutes to cook -at 350F
100017,04-3-501.15/4-301.11,Inadequate Facilities/Cooling Methods,2007-10-11 14:14:46,Fail,,HE_Fail,2007-10-11 10:03:18,single continental running at 55F repair to run at 41 F or below
100018,05-4-302.12,Food Thermometers Provided,2017-10-25 14:36:29,Fail,,HE_Fail,2017-10-25 14:36:29,Provide
100019,06-3-501.13,"PHF's Properly Thawed",2014-01-30 13:55:13,Fail,,HE_Fail,2014-01-30 13:55:13,Thawing out raw chicken in stagnant water - thaw as discussed
100020,07-3-306.14,Reservice of PHF or Unwrapped Foods,2013-03-29 14:30:20,Fail,,HE_Fail,2013-03-29 14:30:20,"Parmesan cheese is going to tables in bowls and being reused for other tables.  Provide containers that are covered or discard the cheese after it has been on the customer's table."
100021,08-3-302.11/3-304.11,Separation  Segregation Cross Contamination,2007-10-11 14:14:46,Fail,,HE_Fail,2007-10-11 10:03:18,elevate food 6 inches off floor
100022,08-3-302.15,"Washing fruits and veg's.",2007-07-18 14:55:55,Fail,,HE_Fail,2007-07-17 14:50:40,""
100023,08-3-305-307.11,Food Protection,2018-06-05 08:36:18,Fail,,HE_Fail,2018-06-05 08:36:18,Exposed foods stored directly next to hand washing facilites - No splash guard (Serving line/prep area) Salad topping/condiments at salad bar/self service  (Serving line/prep/salad bar) No signage reminding customers to use utensils at self service baker
100024,09-3-301.11(C),Handling of Food & Ice,2018-05-02 15:16:27,Fail,,HE_Fail,2018-05-02 15:16:27,Provide scoop with handle for flour container.
100025,10-3-304.12,Food Utensil Storage,2014-01-30 11:51:36,Fail,,HE_Fail,2014-01-30 11:51:36,pizza cutter stored in stagnant water  store clean and dry
100026,10-4.302.11,Food Utensil Storage,2019-05-21 12:24:22,Fail,,HE_Fail,2019-05-21 12:24:22,Cooking line utensils are stored in sanitizer buckets.  Store utensils properly.
100027,11-2-201.12,Personnel w/ Infections Restricted/Excluded,2018-10-12 08:14:11,Fail,,HE_Fail,2018-10-12 08:14:11,Employee with confirmed illness on site.PIC instructed to exclude employee from working until cleared by Boston Public health.
100028,12-2-301.12-.15,Adequate Handwashing/Where/When/How,2016-04-14 10:33:20,Fail,,HE_Fail,2016-04-14 10:33:20,observed employee rinse hands in wash bay/provide proper training to wash hands in designated handsink
100029,12-2-401.11-.12,Good Hygienic Practices,2007-08-29 15:35:08,Fail,,HE_Fail,2007-08-29 10:39:13,Food handler did not cover mouth while  coughing. Employee place hat on in food prep area Did not change gloves and wash hands.
100030,12-3--301.11,Prevention of Contamination from Hands,2017-11-07 19:03:35,Fail,,HE_Fail,2017-11-07 19:03:35,Observed employee cutting bread for service with bare hands.Discontinue.Ensure proper glove use for ready to eat products.
100031,13-2-304/402.11,Clean Cloths  Hair Restraint,2007-08-29 15:35:08,Fail,,HE_Fail,2007-08-29 10:39:13,Food handlers not wearing hair restraints. Remove cloth towels from Uniforms.
100032,14-4-202.11,Food Contact Surfaces Design,2007-10-11 14:14:46,Fail,,HE_Fail,2007-10-11 10:03:18,remove items from top of ice machine and clean interior of lid
100033,15-4-202.16,Non-Food Contact Surfaces,2013-03-06 10:11:37,Fail,,HE_Filed,2013-03-06 10:11:37,Provide utensil sign for soups station.
100034,16-4-204.117,Low Sanitizer Alarm,2016-07-29 15:02:00,Fail,,HE_Fail,2016-07-29 15:02:00,Dish Machine not installed properly. Hose discharging water in the handwashing sink. Provide proper plumbing.
100035,16-4-301.12,Three Compartment Sink,2018-06-01 09:20:27,Fail,,HE_Fail,2018-06-01 09:20:27,provide air drying rack at 3 compartment sink.
100036,16-4-501.11/.15,Dishwashng Facilities,2018-06-05 08:36:18,Fail,,HE_Fail,2018-06-05 08:36:18,Gauge - Wash 147  Dish washing company called and responded prior my departure Original gauges not working
100037,17-4-204.112/.115,Equipment Thermometers,2015-07-27 12:31:52,Fail,,HE_Fail,2015-07-27 12:31:52,Refrigeration unit at front counter missing an internal thermometer.Provide
100038,17-4-302.14,Test Kit Provided,2010-04-27 10:37:06,Fail,,HE_Fail,2010-04-27 10:37:06,Provide proper quaternary ammonium test kit for sanitizing solution.
100039,18-4-603.12,Pre-Flushed  Scrapped  Soaked,2018-04-10 11:27:01,Fail,,HE_Fail,2018-04-10 11:27:01,Three compartment sink filled with soiled cook wear . Remove provide cart to store soil wares.
100040,19-4-501.18-.110,Wash Rinse Water Clean Proper Temperature.,2012-11-05 10:54:48,Fail,,HE_Fail,2012-11-05 10:54:48,Repair wash temp gauge to dishwasher.
100041,20-4-703.11,Food Contact Surfaces Clean,2016-09-22 13:41:20,Fail,,HE_Fail,2016-09-22 13:41:20,Interior/exterior of ice machine soiled.Clean to remove soils.Maintain clean and sanitized.
100042,21-3-304.14,Wiping Cloths  Clean  Sanitize,2007-08-29 15:35:08,Fail,,HE_Fail,2007-08-29 10:39:13,Wiping cloths stored on counters not in a sanitizing solution.
100043,22-4-601/602.11,Food Contact Surfaces Clean,2007-10-11 14:14:46,Fail,,HE_Fail,2007-10-11 10:03:18,clean interior of cream dispenser
100044,23-4-602.13,Non-Food Contact Surfaces Clean,2013-03-06 10:11:37,Fail,,HE_Filed,2013-03-06 10:11:37,Clean rent fan cover inside # 10 reach in
100045,24-4-903.11,Clean Equipment & Utensils Storage,2012-02-28 11:01:10,Fail,,HE_Filed,2012-02-28 11:01:10,Clean utensils being stored under 2 bay dump sink. PIC removed and placed all utensils in a  clean and protected area.
100046,24-4-904.11AB,Improper Storage of Re-usable Utensils,2018-03-27 08:24:56,Fail,,HE_Fail,2018-03-27 08:24:56,Invert clean utensils (pots and pans)
100047,25-4-904.11,Single Service Articles Stored Dispensed,2018-10-29 07:36:32,Fail,,HE_Fail,2018-10-29 07:36:32,Invert plastic knives. (handles one way)
100048,26-4-502.13,Re-use of Single Service Articles,2016-05-05 09:07:05,Fail,,HE_Fail,2016-05-05 09:07:05,Straw on bar not individually wrapped or dispensed to prevent contamination
100049,27-5-103.11-.12,Hot and Cold Water,2007-10-11 14:14:46,Fail,,HE_Fail,2007-10-11 10:03:18,handsink by deli no hot water
100050,28-5-402.13,Sewage and Waste Water,2018-09-25 08:14:53,Fail,,HE_Fail,2018-09-25 08:14:53,remove possible raw sewage from basement/possibly from cracked pipe in old laundry building
